Track,Region,Participants,TimePeriod,N,NMiss,mean,median,sd,p10,p25,p75,p90
1,Not CPC+,All,NA,242,0,109,53,168,10,24,126,237
1,Not CPC+,Not Participating,NA,242,0,87,42,147,6,18,92,175
1,Not CPC+,Participating,NA,242,0,22,10,31,1,4,27,58
1,CPC+,Not Participating,NA,81,0,107,60,120,13,22,145,238
1,CPC+,Participating,NA,81,0,17,10,20,2,4,28,40
2,Not CPC+,All,NA,215,0,113,60,167,12,29,128,240
2,Not CPC+,Not Participating,NA,215,0,95,46,154,8,21,97,215
2,Not CPC+,Participating,NA,215,0,18,9,22,1,3,24,43
2,CPC+,Not Participating,NA,78,0,102,47,122,11,19,143,238
2,CPC+,Participating,NA,78,0,19,11,23,2,4,23,53
