"","track_lab","group_lab","par_lab","nQtrs","Mean","SE","l95","u95","scale"
"1","Track 1","CPC+","Practice intercepts",12,70.3465613891876,1.94398304376069,66.5685604500871,74.2326145088261,"dollars"
"2","Track 1","CPC+","Practice slopes",12,8.0317649472368,0.422177358273823,7.1789652265229,8.83026114416949,"dollars"
"3","Track 1","CPC+","Market intercepts",12,63.4934896410034,6.31053600497359,52.3292476033412,77.0177565423801,"dollars"
"4","Track 1","CPC+","Market slopes",12,2.92274034830465,0.544528700717118,1.91300518981353,4.02464462475214,"dollars"
"5","Track 1","CPC+","Practice intercepts",12,0.287112580149963,0.00793417583517733,0.271693040430984,0.302973124229815,"SDs"
"6","Track 1","CPC+","Practice slopes",12,0.0327808596699031,0.00172307541720899,0.0293002413805354,0.0360398434612063,"SDs"
"7","Track 1","CPC+","Market intercepts",12,0.25914244098867,0.0257558328187977,0.21357668377819,0.314340407854579,"SDs"
"8","Track 1","CPC+","Market slopes",12,0.011928877630103,0.00222244040278888,0.00780774276725418,0.0164261916940957,"SDs"
"9","Track 1","CPC+","Practice-level correlation",12,0.101540958988633,0.0524624343284196,-0.000931930954182419,0.203247638684717,"SDs"
"10","Track 1","CPC+","Market-level correlation",12,0.22389261886703,0.175329117474736,-0.139406098467749,0.545243973620074,"SDs"
"11","Track 1","CPC+","Practice intercepts",8,71.9376191814561,2.16668800307385,67.8471566472228,76.3895063119122,"dollars"
"12","Track 1","CPC+","Practice slopes",8,13.5449349322033,0.820721631686577,11.9424157734034,15.1610118023583,"dollars"
"13","Track 1","CPC+","Market intercepts",8,60.3225130495138,6.05915313557834,49.2671011703485,73.7440656277444,"dollars"
"14","Track 1","CPC+","Market slopes",8,2.23242541107569,1.35718545726882,0.10332928484563,4.99439861319962,"dollars"
"15","Track 1","CPC+","Practice intercepts",8,0.291979215911585,0.00879411734028611,0.275376914402988,0.310048461578427,"SDs"
"16","Track 1","CPC+","Practice slopes",8,0.054975957309658,0.00333113135002521,0.0484716791198356,0.0615352633135231,"SDs"
"17","Track 1","CPC+","Market intercepts",8,0.244836015737279,0.0245927902778083,0.199964493315665,0.299311190794478,"SDs"
"18","Track 1","CPC+","Market slopes",8,0.00906093124186966,0.00550852183000942,0.000419391187993458,0.0202711822774341,"SDs"
"19","Track 1","CPC+","Practice-level correlation",8,0.0794060531323963,0.0561724292716307,-0.0306116579521605,0.192335786467999,"SDs"
"20","Track 1","CPC+","Market-level correlation",8,0.0893001709261385,0.310527846390926,-0.553275986421802,0.722616742919952,"SDs"
"21","Track 1","Matched C","Practice intercepts",12,83.725535009311,1.18798988649751,81.456274624189,86.0990070050664,"dollars"
"22","Track 1","Matched C","Practice slopes",12,9.31389539825892,0.246769580405216,8.83426731350146,9.78457526412368,"dollars"
"23","Track 1","Matched C","Market intercepts",12,84.249018765213,4.78642844831022,74.6296887798083,93.8354281769036,"dollars"
"24","Track 1","Matched C","Market slopes",12,2.22070616705585,0.294515620611549,1.6446033928084,2.82213919269885,"dollars"
"25","Track 1","Matched C","Practice intercepts",12,0.311819154588449,0.00442443278536334,0.30336774421823,0.320658680440072,"SDs"
"26","Track 1","Matched C","Practice slopes",12,0.0346877567123024,0.000919044374354172,0.0329014770081558,0.0364407105493777,"SDs"
"27","Track 1","Matched C","Market intercepts",12,0.313768766044356,0.0178261037338754,0.27794347877181,0.349471447167381,"SDs"
"28","Track 1","Matched C","Market slopes",12,0.00827057981204542,0.00109686503432881,0.0061249992552664,0.0105104978678299,"SDs"
"29","Track 1","Matched C","Practice-level correlation",12,0.141756653957509,0.0266460085482129,0.0890701616072549,0.193201163803305,"SDs"
"30","Track 1","Matched C","Market-level correlation",12,0.214737543962225,0.1205541943374,-0.0331910904437689,0.453074142789552,"SDs"
"31","Track 1","Matched C","Practice intercepts",8,82.9145378119979,1.2793230055022,80.5234138083522,85.4898751454502,"dollars"
"32","Track 1","Matched C","Practice slopes",8,13.3931371034289,0.48748759382001,12.4339705694826,14.368938897344,"dollars"
"33","Track 1","Matched C","Market intercepts",8,81.7207792729379,4.31883220103604,73.3389684894491,90.6216047539074,"dollars"
"34","Track 1","Matched C","Market slopes",8,2.26648834754668,0.521669914723229,1.26007100293732,3.31288672661115,"dollars"
"35","Track 1","Matched C","Practice intercepts",8,0.309567665275983,0.00477644869522341,0.300640223904093,0.319182880974617,"SDs"
"36","Track 1","Matched C","Practice slopes",8,0.0500042850534913,0.00182007160930022,0.0464231646328739,0.0536475144688124,"SDs"
"37","Track 1","Matched C","Market intercepts",8,0.305110677953953,0.0161246849644744,0.273816556759995,0.338342579570777,"SDs"
"38","Track 1","Matched C","Market slopes",8,0.0084621047724603,0.00194769387621459,0.00470456989515811,0.0123689118500086,"SDs"
"39","Track 1","Matched C","Practice-level correlation",8,0.000205989532615983,0.0320276441618348,-0.0648072761428913,0.0643966139582133,"SDs"
"40","Track 1","Matched C","Market-level correlation",8,0.35097216907121,0.168671648697615,0.0306582513700499,0.675959971463221,"SDs"
